cow,date,hour,Walk,Rest,Eat,ACTIVITY_LEVEL,Target
10127,10/1/2013,1,0,3600,0,-828,1
10127,10/1/2013,2,2931.783,444.528,223.689,460.79322,1
10127,10/1/2013,3,257.74,2930.966,411.294,-460.1403,1
10127,10/1/2013,4,63.22,3536.78,0,-803.3442,1
10127,10/1/2013,5,0,3600,0,-828,1
10127,10/1/2013,6,0,3600,0,-828,1
10127,10/1/2013,7,40.973,1177.517,2381.51,735.96097,1
10127,10/1/2013,8,474.559,566.376,2559.065,1020.47026,1
10127,10/1/2013,9,0,3600,0,-828,1
10127,10/1/2013,10,134.694,3465.306,0,-775.46934,1
10127,10/1/2013,11,16.407,3583.593,0,-821.60127,1
10127,10/1/2013,12,85.829,3514.171,0,-794.52669,1
10127,10/1/2013,13,2579.31,448.785,571.905,549.66915,1
10127,10/1/2013,14,188.85,0,3411.15,1462.899,1
10127,10/1/2013,15,321.043,2126.28,1152.677,46.44682,1
10127,10/1/2013,16,24.618,3575.382,0,-818.39898,1
10127,10/1/2013,17,452.449,2721.864,0,-553.63688,1
10127,10/1/2013,18,3.522,3596.477,0,-826.62619,1
10127,10/1/2013,19,180.323,1065.419,2354.257,772.59325,1
10127,10/1/2013,20,542.884,901.315,2155.8,784.99499,1
10127,10/1/2013,21,5.851,3594.148,0,-825.71788,1
10127,10/1/2013,22,12.93,3587.069,0,-822.95707,1
10127,10/1/2013,23,44.502,3555.497,0,-810.64399,1
10127,10/1/2013,24,0,3599.999,0,-827.99977,1
10127,10/2/2013,1,0,3599.999,0,-827.99977,1
10127,10/2/2013,2,2801.871,120.063,678.065,705.47217,1
10127,10/2/2013,3,257.566,0,3342.433,1445.03242,1
10127,10/2/2013,4,566.307,2443.072,590.62,-223.23704,1
10127,10/2/2013,5,17.56,3582.439,0,-821.15137,1
10127,10/2/2013,6,370.746,3229.253,0,-683.40883,1
10127,10/2/2013,7,39.764,3560.235,0,-812.49181,1
10127,10/2/2013,8,190.764,1594.111,1815.124,426.22879,1
10127,10/2/2013,9,0,3599.999,0,-827.99977,1
10127,10/2/2013,10,315.775,1915.702,1368.522,184.69178,1
10127,10/2/2013,11,240.822,2004.838,1354.339,146.24116,1
